"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
41,47,1.032121109034,0.0141665860285707,1.00453973748435,1.00893021672581,1.05553309019783,1.03205629431499,1.05553309019783,1.05553309019783,1.06007081641654
42,48,0.999575570099035,0.0138549596840291,0.972602695910184,0.976895888893825,1.02247360568907,0.999511557022565,1.02247360568907,1.02247360568907,1.02691222444595
43,49,0.951840162040008,0.0134516398091642,0.925655947427674,0.929822785160419,0.974073687941044,0.951776795493445,0.974073687941044,0.974073687941044,0.978384482608535
44,50,0.938609029386134,0.0133394604773256,0.912644188924788,0.916775875714012,0.960657738299895,0.938545836913623,0.960657738299895,0.960657738299895,0.964932986547414
45,51,0.931813277615658,0.0133306756962731,0.905866732209348,0.90999522336988,0.953848173237851,0.931749708098986,0.953848173237851,0.953848173237851,0.958121082415077
46,52,0.685311662285773,0.0115003957722708,0.662954646111915,0.666505546653426,0.704337211133257,0.685247332967778,0.704337211133257,0.704337211133257,0.708034255374286
47,53,0.727265267232675,0.011957783369411,0.704015215734321,0.707708872930285,0.747045211031853,0.72719973117653,0.747045211031853,0.747045211031853,0.750887753467851
48,54,0.744859503534739,0.012376565376355,0.72079724559601,0.724619448056872,0.765333384023456,0.744790955097806,0.765333384023456,0.765333384023456,0.769311315235404
49,55,0.860850186647236,0.0137319212061849,0.834144182594559,0.838388400859924,0.883561030483546,0.860777172465306,0.883561030483546,0.883561030483546,0.8879711229478
50,56,0.916322390782342,0.0146130726798215,0.887902656360467,0.892419240505868,0.940490513280356,0.916244711180817,0.940490513280356,0.940490513280356,0.945183570562868
51,57,0.948274720711526,0.0152001459290451,0.91871442054475,0.923411986863407,0.973414484582208,0.948193506230453,0.973414484582208,0.973414484582208,0.978296554586463
52,58,0.877584523456803,0.014806413738354,0.848801814494593,0.853372985838962,0.902080098554448,0.877501254672447,0.902080098554448,0.902080098554448,0.90684044035979
53,59,0.957299166803689,0.0155787170011278,0.927006271543739,0.931819396034972,0.983067195331213,0.957214660788345,0.983067195331213,0.983067195331213,0.988072301181303
54,60,0.925396032786186,0.0154511904270745,0.895357344090485,0.900128597969343,0.950956800816048,0.925310038850384,0.950956800816048,0.950956800816048,0.955923416214447
55,61,0.911557013650947,0.0154567808026809,0.88151128050106,0.88628274463227,0.937129284572126,0.911469651040192,0.937129284572126,0.937129284572126,0.94209921951818
56,62,0.793536546923549,0.0145267186035195,0.765317409500834,0.769794358923527,0.817581100101499,0.793447905191405,0.817581100101499,0.817581100101499,0.82225942587554
57,63,0.748935701446667,0.0142480060627759,0.721267736945299,0.725654926685297,0.772524671981495,0.748845350422831,0.772524671981495,0.772524671981495,0.77711712102606
